time,precipitation,radiation,modeled_sm,modeled_ro,modeled_et,gw_storage,baseflow,fast_runoff,observed_sm,observed_ro,observed_et
2014-03-29,9.002458,2.6823706194690264,278.807757698226,1.2937115027038502,1.1793357469467356,1.39986731332117,0.0699933656660585,1.2237181370377916,252.04954,0.0507687672,1.5972843739838727
2014-03-30,0.87715757,2.90864,284.7340753847125,0.22241512237850541,1.2766769895586727,1.8543245778141653,0.09271622889070827,0.12969889348779715,264.8738,0.0046278091200000005,1.5943836321872946
2014-03-31,0.51225746,4.325390707964602,284.1507900694729,0.16598470657957873,1.890595667041228,1.8171935889896558,0.0908596794494828,0.07512502713009593,265.04290000000003,0.0041102904,1.627834273123108
2014-04-01,0.5088421,3.131377168141593,282.66737149614534,0.16100451470145227,1.3649830341474916,1.7585303497387856,0.08792651748693929,0.07307799721451298,258.64497,0.00242176776,1.6612849140589216
2014-04-02,14.611509,1.7851026548672568,281.70825034652825,2.155209915210106,0.8011506612636596,1.701922973915209,0.08509614869576046,2.0701137665143454,272.033,0.0729591456,1.694735554994735
2014-04-03,2.7596734,4.285553982300885,292.1239377892423,0.5772932642904655,1.9241373775760555,2.5040184394398826,0.12520092197199414,0.45209234231847134,301.32562,0.007228320480000001,1.7281861959305485
2014-04-04,0.22668396,4.945853982300886,292.31196480000045,0.16585985494562694,2.2082433762339324,2.572571378461519,0.12862856892307595,0.037231286022551,294.51615,0.00010426727279999999,1.7616368368663617
2014-04-05,1.8366742,1.957610442477876,290.2786976827731,0.41635007058418355,0.8753365238242224,2.459899074976679,0.12299495374883396,0.2933551168353496,292.4266,0.0072283212,1.7950874778021753
2014-04-06,0.0030748867,5.427488938053098,290.81784313830633,0.12362616947969597,2.410797570870683,2.462627742728709,0.12313138713643546,0.0004947823432605179,292.05182,0.0,1.8285381187379888
2014-04-07,0.0,5.481933628318584,288.4094370367127,0.11698542025839785,2.41863156288793,2.339708405167957,0.11698542025839785,0.0,277.10372,0.0,1.861988759673802
2014-04-08,0.0,5.207153982300885,285.99080547382476,0.11113614924547795,2.2827158218066743,2.222722984909559,0.11113614924547795,0.0,266.53310000000005,0.0,1.8616751231978426
2014-04-09,0.29110593,5.120691150442479,283.7080896520181,0.14800599835316575,2.2321412628840616,2.111586835664081,0.10557934178320405,0.04242665656996169,257.17992,0.00235448328,1.8613614867218828
2014-04-10,0.5107781,5.124709292035398,281.7081538217068,0.17357489227678946,2.222386752430058,2.024190346696575,0.10120951733482875,0.0723653749419607,249.81482,0.00183314688,1.8610478502459231
2014-04-11,1.7406104,4.891255752212389,279.895826358588,0.338018747223143,2.116799176691503,1.9539945614797296,0.09769972807398648,0.24031901914915654,246.72558999999998,0.0061923288,1.8607342137699634
2014-04-12,0.5090119,4.727066814159292,279.1798375498243,0.16752530651070874,2.036220006289483,1.959288698755382,0.0979644349377691,0.06956087157293962,243.14578,0.00117724164,1.8604205772940037
2014-04-13,0.00026712625,5.425887610619469,277.5555693705564,0.09459246624322527,2.3215977352484125,1.8911360659203014,0.09455680329601507,3.56629472101987e-05,236.60079000000002,0.0,1.8601069408180442
2014-04-14,0.0,4.439515044247788,275.2341895189059,0.08982972733722597,1.8891132960076902,1.7965945467445192,0.08982972733722597,0.0,228.54093,0.0,1.8597933043420842
2014-04-15,0.6083618,5.288488495575221,273.34507622289823,0.16174078783639176,2.2389223165029053,1.7067648194072933,0.08533824097036467,0.07640254686602709,223.63754,0.00235448328,1.8594796678661245
2014-04-16,0.00080137874,5.153181415929204,271.6081434350052,0.082806635579208,2.167706900760268,1.6541705270937974,0.08270852635468988,9.810922451813186e-05,217.57063,0.0,1.8779882551294513
2014-04-17,0.0050753984,5.270253982300885,269.4411022299219,0.07917696665418905,2.202473055635338,1.5715040475496154,0.07857520237748078,0.0006017642767082692,211.0676,0.00048435355199999994,1.8964968423927782
2014-04-18,0.028315384,4.910106637168141,267.2428729636086,0.07790832337140247,2.0395721530587365,1.4931867441478666,0.07465933720739333,0.00324898616400913,204.92573,0.0,1.9150054296561048
2014-04-19,0.23682693,3.9782008849557524,265.22711482252015,0.09735952676471557,1.6452635521528687,1.4199198295821913,0.07099599147910957,0.026363535285606,201.43826,0.0,1.9335140169194316
2014-04-20,3.4166033,3.3172427876106196,263.7818369237054,0.4401242489535214,1.3781276105861302,1.360222496082627,0.06801112480413135,0.3721131241493901,207.54313,0.01099888224,1.952022604182758
2014-04-21,6.2647543,3.568530973451328,265.2766724795188,0.7704972259747958,1.4991193437456556,1.4516884244853772,0.07258442122426886,0.6979128047505269,227.51835,0.0219371592,1.9705311914460848
2014-04-22,0.011753555,5.569659734513275,268.9894722595267,0.08529471410127601,2.323645098499777,1.678209491011334,0.08391047455056672,0.0013842395507092915,236.65392,0.0,1.9890397787094116
2014-04-23,0.046657555,4.116560619469026,266.67567127089484,0.08505292512390206,1.7088047481016535,1.5948922619825,0.079744613099125,0.0053083120247770475,228.53796,0.0,2.0075483659727382
2014-04-24,0.6221119,5.056523008849558,265.00613067796826,0.14489401120221243,2.0890758470993793,1.5174226397511363,0.07587113198755682,0.06902287921465561,223.58537,0.000692888088,1.9805178178095184
2014-04-25,0.0,6.02664203539823,263.44288923612163,0.07355663708563588,2.471183783217272,1.4711327417127176,0.07355663708563588,0.0,217.87007,0.0,1.9534872696462986
2014-04-26,0.12098713,4.186286283185841,260.97170545290436,0.0825032924770417,1.7081021519401474,1.3975761046270816,0.06987880523135408,0.012624487245687625,209.97703,0.0,1.9264567214830788
2014-04-27,0.0006687939,6.113204867256637,259.36699903521946,0.06672347479186376,2.4752828105903015,1.3331077939295937,0.06665538969647969,6.808509538407295e-05,206.40433,0.0,1.8994261733198583
2014-04-28,0.0,6.012580973451328,256.8922914662371,0.06332407917798537,2.4162031663999763,1.2664815835597072,0.06332407917798537,0.0,205.01034,0.0,1.872395625156639
2014-04-29,0.0,6.027219026548673,254.47608829983713,0.06015787521908609,2.4037652824327242,1.2031575043817218,0.06015787521908609,0.0,199.97437000000002,0.0,1.845365076993419
2014-04-30,0.0,6.0065190265486725,252.07232301740441,0.057149981458131785,2.3774179950588152,1.1429996291626356,0.057149981458131785,0.0,194.73197000000002,0.000208534536,1.8183345288301986
2014-05-01,0.0,5.987383628318584,249.6949050223456,0.054292482385225195,2.3519692011843687,1.0858496477045039,0.054292482385225195,0.0,189.93486000000001,0.0,1.791303980666979
2014-05-02,0.0,5.835255752212389,247.34293582116123,0.05157785826596394,2.2753249020591215,1.0315571653192788,0.05157785826596394,0.0,185.10558999999998,0.0,1.779271530366577
2014-05-03,0.0,5.755103982300885,245.06761091910212,0.04899896535266574,2.2277368799070083,0.9799793070533148,0.04899896535266574,0.0,180.41107,0.0,1.7672390800661744
2014-05-04,0.0,5.5908256637168146,242.8398740391951,0.04654901708503245,2.1488123321188084,0.930980341700649,0.04654901708503245,0.0,175.46904,0.0,1.755206629765772
2014-05-05,0.0,5.807215486725664,240.6910617070763,0.04422156623078083,2.2155308193156085,0.8844313246156166,0.04422156623078083,0.0,171.68959999999998,0.0,1.7431741794653697
2014-05-06,0.0,5.941993584070797,238.4755308877607,0.04201048791924179,2.249825566887692,0.8402097583848358,0.04201048791924179,0.0,168.71253,0.0,1.7311417291649676
2014-05-07,0.0,5.144945132743363,236.225705320873,0.039909963523279704,1.9352567361578543,0.798199270465594,0.039909963523279704,0.0,165.14394,0.0,1.719109278864565
2014-05-08,0.19682103,6.138761061946902,234.29044858471514,0.05125553692377776,2.2923979764833677,0.7582893069423143,0.03791446534711572,0.013341071576662039,165.34904,0.000647561664,1.7070768285641627
2014-05-09,0.0077098906,5.277056637168141,232.17650081232296,0.03680861244129067,1.9573558334181431,0.7260924436994823,0.03630462218497412,0.0005039902563165486,164.21178,0.0,1.6950443782637603
2014-05-10,0.00530055,5.201501769911505,230.2261590756901,0.03483518753416252,1.916504186716995,0.6900038173386439,0.0345001908669322,0.00033499666723032693,163.25066999999999,0.0,1.7157640472977562
2014-05-11,0.0,5.877183185840709,228.31449276728088,0.032782359823597666,2.1491415281261106,0.6556471964719532,0.032782359823597666,0.0,161.95281,0.0,1.736483716331752
2014-05-12,0.0,5.960815486725664,226.16535123915477,0.03114324183241778,2.1630309078548793,0.6228648366483556,0.03114324183241778,0.0,158.79080000000002,0.0,1.7572033853657478
2014-05-13,0.0,5.94229424778761,224.0023203312999,0.02958607974079689,2.139815396626853,0.5917215948159378,0.02958607974079689,0.0,155.7943,0.0,1.7779230543997435
2014-05-14,0.002773389,5.956416814159292,221.86250493467304,0.028257939384808577,2.1284433198633295,0.5621355150751409,0.028106775753757047,0.00015116363105153118,154.55062999999998,0.0,1.7986427234337392
2014-05-15,0.0,6.101352212389381,219.73662733258726,0.026704676186734583,2.1630484414461884,0.5340935237346917,0.026704676186734583,0.0,154.30824,0.0,1.8193623924677353
2014-05-16,0.0,6.1248823008849556,217.57357889114107,0.025369442377397855,2.154174442166073,0.5073888475479571,0.025369442377397855,0.0,152.34803,0.0,1.840082061501731
2014-05-17,0.00024093408,5.911496902654868,215.419404448975,0.024112642073576013,2.063180041057859,0.48201940517055925,0.024100970258527962,1.167181504805207e-05,151.63603,0.0,1.8608017305357267
2014-05-18,0.024835622,5.564236725663717,213.356449306688,0.024053879818645756,1.9280974679588976,0.45792343711848044,0.022896171855924023,0.001157707962721734,150.1823,0.000177642528,1.853246208840767
2014-05-19,0.0018096527,6.296008407079647,211.45159265548196,0.02185755546414134,2.1638079830213823,0.43552342581800857,0.02177617129090043,8.138417324091243e-05,150.61364,0.0,1.845690687145807
2014-05-20,0.01724708,5.106961504424779,209.289482817255,0.021433506177473485,1.7435536588229963,0.4137821334584971,0.020689106672924857,0.0007443995045486296,150.2864,0.00050142336,1.8381351654508473
2014-05-21,4.003186,4.993469026548673,207.56214791784728,0.18681786697033576,1.71818074503982,0.39341205514466454,0.01967060275723323,0.16714726421310253,161.97778,0.015621560639999999,1.8305796437558872
2014-05-22,0.8767006,5.349458849557522,209.59899850441417,0.06033232382129823,1.833560677373193,0.44537599419304674,0.02226879970965234,0.038063524111645895,178.95767,0.0018595552800000001,1.8230241220609276
