time,observed_sm,modeled_sm,observed_ro,modeled_ro,observed_et,modeled_et,snow,precipitation,radiation
2008-01-01,378.37579999999997,135.0,1.4244202799999999,0.3133596696921239,0.19466280937194824,0.0,0.0,0.008254657,-0.4732614159292035
2008-01-02,374.4557,135.07316446387003,1.37870736,0.6229605472665233,0.1941755941483827,0.0,0.0,0.0025012603,-0.9571911061946904
2008-01-03,370.631,135.2171301160482,1.352798232,0.19065490020908385,0.1936883789248171,0.0,0.0,0.01323297,-0.2767351592920354
2008-01-04,368.56878,135.26097267806057,1.337397528,0.23979519321657553,0.19320116370125154,0.0,0.0,0.0008872959,-0.3675186017699115
2008-01-05,385.17675,135.3158849614809,1.7988864,10.551341565757841,0.192713948477686,0.0,0.0,12.935702,-0.03737312831858407
2008-01-06,407.69142000000005,137.4044323031121,3.6686940000000003,12.615115465884745,0.1922267332541204,0.20852532296635123,0.0,15.033921,0.2705035221238938
2008-01-07,415.8419,139.27182201944274,4.362888959999999,12.774365446374835,0.19173951803055483,0.0,0.0,14.686386,-0.1647627079646018
2008-01-08,405.60859999999997,140.99883981694347,1.28767188,0.5735628056769866,0.19125230280698924,0.0,0.0,0.005592769,-0.8044229203539823
2008-01-09,405.4416,141.0737982762941,1.4039616000000001,2.480686603386264,0.1907650875834237,0.04990311775713887,0.0,2.8045404,0.06426181415929204
2008-01-10,401.16453,141.33844180301568,1.339360632,,0.19563249913992076,,0.0,0.5808271,0.07095626991150443
