time,precipitation,radiation,modeled_sm,modeled_ro,modeled_et,observed_sm,observed_ro,observed_et,latitude,longitude
2008-01-01,0.00594767,0.719691017699115,182.05252706531456,0.0011174850116721989,0.3786723961403369,237.59547,1.66533456e-13,0.579555583211173,38.625,-3.625
2008-01-02,12.292146,0.20358897345132745,181.67868944358457,2.3000490935850584,0.10996163051767531,255.4957,0.0748547232,0.5772000920456067,38.625,-3.625
2008-01-03,12.748878,1.1035462389380533,191.31678838476972,2.6453281166745075,0.6102291464536878,297.57412999999997,0.0916984128,0.5748446008800405,38.625,-3.625
2008-01-04,0.7674296,0.5265546017699115,200.55464627978796,0.17498685303480033,0.29130670339537834,306.92396,0.00253199676,0.5724891097144742,38.625,-3.625
2008-01-05,0.7709782,1.2132416814159293,200.85525774758045,0.1763233898849405,0.6710761175272636,306.92535999999996,0.00377092032,0.5701336185489081,38.625,-3.625
2008-01-06,0.93650115,0.8869737610619469,200.77897037987617,0.2140159689722527,0.49089102906959314,308.02912,0.00437159256,0.5677781273833418,38.625,-3.625
2008-01-07,0.008756493,0.9990449557522124,201.0100718566663,0.0020057059445947943,0.5521660403635605,306.45794,1.66533456e-13,0.5654226362177757,38.625,-3.625
2008-01-08,0.007600203,0.9384856637168141,200.46466748759667,0.0017314194325270262,0.5180322207915474,301.26356999999996,1.66533456e-13,0.5630671450522093,38.625,-3.625
2008-01-09,0.042939276,0.9562704424778762,199.95251289736214,0.0097321741049121,0.5271967910697775,298.0337,1.66533456e-13,0.5607116538866431,38.625,-3.625
2008-01-10,0.062772095,0.7911423451327434,199.4585712908611,0.014157072310557971,0.43573728766281655,294.66784,1.66533456e-13,0.5719884900392683,38.625,-3.625
2008-01-11,2.992702,0.32037965929203543,199.07150397203506,0.6723309254820146,0.17739873242027326,299.39723000000004,0.018362228640000002,0.5832653261918936,38.625,-3.625
2008-01-12,-1.6653345e-13,0.5497361061946903,201.20009836640457,-3.8217236145144044e-14,0.30416224416168286,298.85393,1.66533456e-13,0.5945421623445191,38.625,-3.625
2008-01-13,0.0137068415,1.5252103982300886,200.89593612224277,0.003136036532150774,0.8421334934191443,293.58158000000003,1.66533456e-13,0.6058189984971443,38.625,-3.625
2008-01-14,7.0933633,1.3316529203539824,200.06439939479006,1.6095084168911378,0.7438327502705834,303.8391,0.058006608,0.6170958346497696,38.625,-3.625
2008-01-15,0.036175013,0.4828061504424779,204.7293627189897,0.008595484949047553,0.2695079285928009,307.8422,1.66533456e-13,0.6283726708023949,38.625,-3.625
2008-01-16,1.228724,0.9994415044247789,204.4874546312872,0.2912655351642468,0.558415208768348,309.88106,0.00270716856,0.6396495069550201,38.625,-3.625
2008-01-17,0.021637067,0.6853284513274337,204.86542115994905,0.0051479833168287335,0.38256942047398346,305.31242,1.66533456e-13,0.6509263431076455,38.625,-3.625
2008-01-18,0.041797493,1.6280457079646018,204.49935922041382,0.009909130682604775,0.9068759867769515,301.65029999999996,1.66533456e-13,0.6571579295977027,38.625,-3.625
2008-01-19,-1.6653345e-13,1.2945683628318585,203.6244563837656,-3.9143781109445816e-14,0.719841654830107,296.1297,1.66533456e-13,0.6633895160877599,38.625,-3.625
2008-01-20,-1.6653345e-13,1.2958130973451327,202.90461472893534,-3.886751253907117e-14,0.7192555860636195,291.9796,1.66533456e-13,0.6696211025778172,38.625,-3.625
2008-01-21,-1.6653345e-13,1.2549725663716813,202.1853591428716,-3.8592446080323323e-14,0.6953875904696984,288.23346,1.66533456e-13,0.6758526890678743,38.625,-3.625
2008-01-22,-1.6653345e-13,1.1946256637168142,201.48997155240176,-3.832743621317532e-14,0.6608624845871359,284.56777,1.66533456e-13,0.6820842755579315,38.625,-3.625
2008-01-23,-1.6653345e-13,1.2227840265486727,200.8291090678145,-3.8076429910019546e-14,0.6753013885547816,279.75208000000003,1.66533456e-13,0.6883158620479889,38.625,-3.625
2008-01-24,-1.6653345e-13,1.360978761061947,200.1538076792596,-3.782079132105625e-14,0.7502118985880346,274.87475,1.66533456e-13,0.6945474485380461,38.625,-3.625
2008-01-25,-1.6653345e-13,1.2220769911504425,199.40359578067142,-3.7537804618583715e-14,0.6725079670332895,270.62458,1.66533456e-13,0.7007790350281032,38.625,-3.625
2008-01-26,0.00033002323,0.6985862389380532,198.731087813638,7.388861895497052e-05,0.38405966674887293,266.06297,1.66533456e-13,0.7121449089155789,38.625,-3.625
2008-01-27,-1.6653345e-13,1.2897423893805309,198.3472845668978,-3.714115600715948e-14,0.7077923658183611,262.17815,1.66533456e-13,0.7235107828030545,38.625,-3.625
2008-01-28,-1.6653345e-13,1.3113664159292038,197.63949220107932,-3.68765562408888e-14,0.7183503231876401,258.45116,1.66533456e-13,0.73487665669053,38.625,-3.625
2008-01-29,-1.6653345e-13,1.403723982300885,196.92114187789156,-3.660897667625963e-14,0.767443019754818,253.85076,1.66533456e-13,0.7462425305780057,38.625,-3.625
2008-01-30,-1.6653345e-13,1.4707280530973452,196.1536988581366,-3.632418697114462e-14,0.802429246840829,251.12838,1.66533456e-13,0.7576084044654813,38.625,-3.625
2008-01-31,-1.6653345e-13,1.5270278761061948,195.35126961129563,-3.602760351227995e-14,0.8313718412693343,245.92045000000002,1.66533456e-13,0.7689742783529568,38.625,-3.625
2008-02-01,0.0031864746,1.2847038495575223,194.51989777002618,0.0006835022451963176,0.6981891293486331,244.00385,0.0,0.7803401522404325,38.625,-3.625
2008-02-02,0.3276367,0.15734573893805312,193.82421650198935,0.0697766373726892,0.08554944764452452,244.40949,0.0,0.791706026127908,38.625,-3.625
