site,file,n_days,start_date,end_date,sm_rmse,sm_mae,sm_r,sm_bias,sm_nse,ro_rmse,ro_mae,ro_r,ro_bias,ro_nse,et_rmse,et_mae,et_r,et_bias,et_nse
Germany,Data_swbm_Germany_new.csv,4018,2008-01-01 00:00:00,2018-12-31 00:00:00,77.55011971143854,68.24141716364814,0.8516583657460481,-66.77379098156901,-1.5652250190500956,2.5851545948329977,1.4847294438634047,0.6571619162067391,0.5998218672277152,-3.4869105471930144,0.8378146959654305,0.6356414923834691,0.8725477565511124,0.3171453212868032,0.22981363670795274
Spain,Data_swbm_Spain_new.csv,4018,2008-01-01 00:00:00,2018-12-31 00:00:00,123.57767151399278,115.87160286078598,0.8334097475142889,-115.85480158326676,-1.7207173812795853,0.5813296076201219,0.17024079296329683,0.5161130165467533,0.167937299588223,-19.877864744610385,0.5646160079004536,0.4415286682225294,0.8517207206520457,0.04332472389062208,-0.31928328611558077
Sweden,Data_swbm_Sweden_new.csv,4018,2008-01-01 00:00:00,2018-12-31 00:00:00,95.7697516239965,85.707039947291,-0.11731425062811088,-41.553549389991446,-11.20808810155169,1.9526547425458909,1.1672879525967244,0.08838300055790337,0.36344304453142345,-24.9371377277681,1.1393792586113811,0.8875710023926172,0.8491595001618455,0.07192973535157306,-1.2265453283692822
