time,precipitation,radiation,modeled_sm,modeled_ro,modeled_et,observed_sm,observed_ro,observed_et,latitude,longitude
2009-07-31,3.7412724,3.0434756637168143,268.1113853046586,1.5245836659694656,1.9462977496124703,399.9196,0.81994032,1.852704993391459,63.625,15.875
2009-08-01,0.7896775,2.6448721238938053,268.3787357754455,0.32243886871003996,1.6875550676164335,396.96294,0.8237193600000001,1.8588964918018442,63.625,15.875
2009-08-02,0.11110125,4.315507079646018,267.16134456524367,0.0449539238361843,2.739720127953225,391.41837000000004,0.8464354799999999,1.8650879902122295,63.625,15.875
2009-08-03,0.002043809,4.694845132743363,264.4886711986263,0.000810505331282158,2.9638145536305838,384.16362,0.87064644,1.8712794886226143,63.625,15.875
2009-08-04,0.40058172,3.360567876106195,261.52610810576107,0.1553183069975262,2.113893335522705,378.9514,0.8906921999999999,1.8774709870330002,63.625,15.875
2009-08-05,3.239717,3.8371376106194695,259.6596950793933,1.2382763533580659,2.4117647991223534,381.6908,0.9180812159999999,1.8836624854433854,63.625,15.875
2009-08-06,0.20639937,4.578881415929204,259.2532474964413,0.0786426604327364,2.8628021474966094,378.9199,0.9111798480000001,1.8323200598227238,63.625,15.875
2009-08-07,0.0068462943,5.0560725663716815,256.51986036627073,0.002553871096511599,3.14177528078709,371.49078000000003,0.9297399839999999,1.7809776342020625,63.625,15.875
2009-08-08,0.0028274248,5.016721238938054,253.38243998000792,0.0010290714037812056,3.098217034447809,365.20419999999996,0.937289904,1.7296352085814013,63.625,15.875
2009-08-09,0.032031912,4.237166814159292,250.2860464499497,0.011375161158105225,2.6032327216829905,358.82574,0.9506599920000001,1.6782927829607397,63.625,15.875
2009-08-10,6.475788,3.299815044247788,247.7037052069188,2.252470167242946,2.0361054767767874,366.69874000000004,0.99542472,1.6269503573400783,63.625,15.875
2009-08-11,11.943848,1.6079708407079647,249.85184966678716,4.226791494440361,1.0050576390113093,383.83250000000004,1.0535122319999999,1.575607931719417,63.625,15.875
2009-08-12,0.5018489,3.637345132743363,256.3441843982986,0.18694821986654156,2.2646922817941966,388.61713,0.971439168,1.5242655060987558,63.625,15.875
2009-08-13,0.2098936,1.9562432300884955,254.3972325659899,0.07700614465268193,1.2154020177919072,378.08257000000003,0.977964408,1.4729230804780942,63.625,15.875
2009-08-14,0.805824,3.121098805309735,253.31537296221998,0.29313299844050633,1.933689025225524,375.6638,0.980239728,1.4514663182528673,63.625,15.875
2009-08-15,1.4872372,2.39029185840708,251.8976560627969,0.5349705954217527,1.47936602156892,373.5526,0.979816632,1.4300095560276402,63.625,15.875
2009-08-16,14.500027,0.26988929203539824,251.37278604349996,5.194057430560809,0.1699509750031246,386.86949999999996,1.09452516,1.4085527938024132,63.625,15.875
2009-08-17,1.2959969,3.5031434513274338,260.1462370802742,0.4972107143575144,2.199710646474447,401.57,0.98044656,1.3870960315771863,63.625,15.875
2009-08-18,12.464781,0.7204641150442478,258.75064732799285,4.7309565747188085,0.45853128729251924,402.93488,1.1131886880000001,1.3656392693519595,63.625,15.875
2009-08-19,8.326673e-14,4.211343805309735,265.7692851039589,3.334129815554774e-14,2.666577550899272,402.06933,0.97722156,1.3441825071267322,63.625,15.875
2009-08-20,0.6735217,2.3423768584070794,263.1027075530597,0.2643039457196863,1.4801365404764282,392.25736,0.9832485599999999,1.322725744901505,63.625,15.875
2009-08-21,11.23088,1.0805654424778761,262.03393606913124,4.371498031634035,0.6905803879481941,401.87493,1.081963728,1.3012689826762782,63.625,15.875
2009-08-22,24.42894,0.8162106194690265,268.0035559559389,9.946886327905162,0.5342353709667489,422.2649,1.31016768,1.294357415321654,63.625,15.875
2009-08-23,0.40981314,3.9912137168141593,280.98757675444625,0.18342627069829912,2.600624140223774,419.8038,1.028784,1.2874458479670294,63.625,15.875
2009-08-24,0.0015213987,3.3717172566371683,278.6164352050982,0.0006695113172268852,2.1883241023229476,405.7321,1.059802248,1.2805342806124054,63.625,15.875
2009-08-25,0.0010219045,2.9916524778761064,276.4289735030365,0.0004426687384083008,1.9348448867987529,398.01399999999995,1.099705776,1.273622713257781,63.625,15.875
