site,old_sum_corr,new_sum_corr,improvement,improvement_pct,old_ro_corr,new_ro_corr,ro_improvement,best_alpha
Germany,2.510633509298703,2.6030692235782977,0.09243571427959463,3.681768523252713,0.6965300222499984,0.7892267979695675,0.09269677571956914,0.3
Spain,2.6241333993054683,2.522032960671459,-0.1021004386340092,-3.8908250114507217,0.8316401388437775,0.7295397002097678,-0.10210043863400975,0.4
Sweden,1.153642583065387,1.4449722395728002,0.29132965650741327,25.253025571690525,0.14192836930364,0.4332580258110532,0.2913296565074132,0.2
