Site,whc,exp_runoff,exp_et,beta,delta,calib_sum_corr,calib_sm_corr,calib_ro_corr,calib_et_corr,valid_sum_corr,valid_sm_corr,valid_ro_corr,valid_et_corr,valid_sm_nse,valid_ro_nse,valid_et_nse
Germany,840.0,8.0,0.2,0.4,0.2,2.4775302534208183,0.8658361197443231,0.7108678496369233,0.900826284039572,2.5766715520464247,0.9106820777160529,0.7628291264376943,0.9031603478926776,-64.09678315508836,-0.2798990777538297,0.7308729129717327
Spain,210.0,2.0,0.8,0.6,0.8,2.3664976707449803,0.9240505918890083,0.585182551023909,0.8572645278320628,2.6158087683424465,0.9106537512343653,0.8233155078807555,0.8818395092273257,-2.7589238190861187,-908.2623097716051,0.30003102779737667
Sweden,840.0,2.0,0.2,0.4,0.2,0.8637095549719966,-0.2756557399552939,0.26119185883964957,0.878173436087641,1.2292232924522593,0.14026160442277297,0.20779954089935726,0.8811621471301291,-176.6957378723931,-3.8150174444990785,0.5032105099727135
