whc,exp_runoff,exp_et,beta,alpha,sum_correlation,n_variables,sm_corr,sm_rmse,sm_nse,sm_bias,ro_corr,ro_rmse,ro_nse,ro_bias,et_corr,et_rmse,et_nse,et_bias
210.0,2.0,0.2,0.4,0.2,2.043304362745783,3,0.8940244069052496,141.10507706511905,-2.390332528541126,-136.5173419492676,0.3738510737120134,0.8482237583250031,-23.973565433986963,0.5008707518131891,0.7754288821285202,0.510750233144769,-0.040808861659774376,-0.20812230919193248
210.0,2.0,0.2,0.4,0.3,2.1084082892895055,3,0.8940244069052496,141.10507706511905,-2.390332528541126,-136.5173419492676,0.43895500025573575,0.8862166795671602,-26.260858232971717,0.5003187641462588,0.7754288821285202,0.510750233144769,-0.040808861659774376,-0.20812230919193248
210.0,2.0,0.2,0.4,0.4,2.1532223443713194,3,0.8940244069052496,141.10507706511905,-2.390332528541126,-136.5173419492676,0.48376905533754944,0.9444415671923211,-29.960635847032073,0.4997667764793285,0.7754288821285202,0.510750233144769,-0.040808861659774376,-0.20812230919193248
210.0,2.0,0.2,0.6,0.2,2.065055531558838,3,0.912824362069119,158.63111478772626,-3.284831701531644,-154.99170169688182,0.3754770952175597,0.6938374438094302,-15.709950050947583,0.37915334931874967,0.7767540742721594,0.6899929415936559,-0.8995167620120343,-0.08391455032781152
210.0,2.0,0.2,0.6,0.3,2.132711261947866,3,0.912824362069119,158.63111478772626,-3.284831701531644,-154.99170169688182,0.4431328256065877,0.7208937095828927,-17.038572108952458,0.37866005103573597,0.7767540742721594,0.6899929415936559,-0.8995167620120343,-0.08391455032781152
210.0,2.0,0.2,0.6,0.4,2.1810024160545867,3,0.912824362069119,158.63111478772626,-3.284831701531644,-154.99170169688182,0.49142397971330826,0.7645981073393773,-19.292059273585952,0.3781667527527223,0.7767540742721594,0.6899929415936559,-0.8995167620120343,-0.08391455032781152
210.0,2.0,0.2,0.8,0.2,1.9770535766870072,3,0.8886089868955459,171.76460506992106,-4.023707744871208,-167.522328485563,0.3719856956415756,0.581088414033533,-10.720445445452912,0.2908464149390249,0.7164588941498857,0.87739492452194,-2.071454384142598,0.008372142781725678
210.0,2.0,0.2,0.8,0.3,2.0454983653570737,3,0.8886089868955459,171.76460506992106,-4.023707744871208,-167.522328485563,0.44043048431164206,0.6007848424434066,-11.528457932305306,0.29040668588855384,0.7164588941498857,0.87739492452194,-2.071454384142598,0.008372142781725678
210.0,2.0,0.2,0.8,0.4,2.0955621690411714,3,0.8886089868955459,171.76460506992106,-4.023707744871208,-167.522328485563,0.49049428799573985,0.6346230046229601,-12.97948932396402,0.2899669568380828,0.7164588941498857,0.87739492452194,-2.071454384142598,0.008372142781725678
210.0,2.0,0.5,0.4,0.2,2.1192076096944543,3,0.893706136200366,127.93540294964582,-1.787009817949281,-122.17782066206827,0.38794282806737884,0.9265829632859054,-28.80082632130768,0.5715490821660173,0.8375586454267092,0.4261589772444841,0.2754020230964265,-0.2830941073648047
210.0,2.0,0.5,0.4,0.3,2.184148575994649,3,0.893706136200366,127.93540294964582,-1.787009817949281,-122.17782066206827,0.4528837943675733,0.9700104425205949,-31.65972354216752,0.5709589286142132,0.8375586454267092,0.4261589772444841,0.2754020230964265,-0.2830941073648047
210.0,2.0,0.5,0.4,0.4,2.2276923787395004,3,0.893706136200366,127.93540294964582,-1.787009817949281,-122.17782066206827,0.4964275971124255,1.0356247345335252,-36.22755499046056,0.5703687750624093,0.8375586454267092,0.4261589772444841,0.2754020230964265,-0.2830941073648047
210.0,2.0,0.5,0.6,0.2,2.151018996285369,3,0.9242070168481203,147.54588735962065,-2.7069030973883454,-143.86816371374826,0.39139325586614737,0.7713317940857323,-19.651050627694165,0.4438689123749827,0.8354187235711011,0.4882855523478167,0.04873485800917221,-0.1527413932568704
210.0,2.0,0.5,0.6,0.3,2.219204577522218,3,0.9242070168481203,147.54588735962065,-2.7069030973883454,-143.86816371374826,0.4595788371029964,0.80340810730245,-21.404337425071436,0.44332260562396725,0.8354187235711011,0.4882855523478167,0.04873485800917221,-0.1527413932568704
210.0,2.0,0.5,0.6,0.4,2.2668336237458098,3,0.9242070168481203,147.54588735962065,-2.7069030973883454,-143.86816371374826,0.5072078833265885,0.8540124764822502,-24.31559363876594,0.44277629887295183,0.8354187235711011,0.4882855523478167,0.04873485800917221,-0.1527413932568704
210.0,2.0,0.5,0.8,0.2,2.1189468468090222,3,0.9273315742921364,158.91995978635245,-3.30045006245777,-155.43674379363256,0.39422312661986386,0.6710856586112923,-14.632037947674277,0.36542021022044174,0.7973921458970221,0.6265552748001837,-0.5662915870554084,-0.07286983782303098
210.0,2.0,0.5,0.8,0.3,2.18901568854735,3,0.9273315742921364,158.91995978635245,-3.30045006245777,-155.43674379363256,0.4642919683581915,0.6962754642416196,-15.82758790728542,0.36490979072082264,0.7973921458970221,0.6265552748001837,-0.5662915870554084,-0.07286983782303098
210.0,2.0,0.5,0.8,0.4,2.23906957320591,3,0.9273315742921364,158.91995978635245,-3.30045006245777,-155.43674379363256,0.5143458530167516,0.7377716029034301,-17.893114433829602,0.3643993712212037,0.7973921458970221,0.6265552748001837,-0.5662915870554084,-0.07286983782303098
210.0,2.0,0.8,0.4,0.2,2.1659440512379864,3,0.9062741341495261,115.82548514563204,-1.284363813337996,-108.59099211481313,0.4093110766757615,1.013100323426376,-34.62579733040035,0.6492872795638799,0.8503588404126988,0.4602763807796162,0.1547382567031581,-0.36516040460363963
