whc,exp_runoff,exp_et,beta,delta,sum_correlation,n_variables,sm_corr,sm_rmse,sm_nse,sm_bias,ro_corr,ro_rmse,ro_nse,ro_bias,et_corr,et_rmse,et_nse,et_bias
420.0,2.0,0.2,0.8,0.2,2.430842632600862,3,0.7909648329251672,99.67447290954496,-4.501666167245198,-84.84195394079508,0.7496473005653813,0.8957024215570019,0.3674106755412956,0.41366118540086194,0.8902304991103136,1.0530243874349698,-0.21298152072050813,0.5298828021336276
420.0,2.0,0.2,0.8,0.4,2.4254591461238397,3,0.7909648329251672,99.67447290954496,-4.501666167245198,-84.84195394079508,0.744263814088359,1.0485803327651102,0.13304256104819845,0.4132545182941235,0.8902304991103136,1.0530243874349698,-0.21298152072050813,0.5298828021336276
420.0,2.0,0.2,0.8,0.8,2.3361701272271747,3,0.7909648329251672,99.67447290954496,-4.501666167245198,-84.84195394079508,0.6549747951916942,1.8685097642376978,-1.7528662106008688,0.41244118408064684,0.8902304991103136,1.0530243874349698,-0.21298152072050813,0.5298828021336276
420.0,2.0,0.5,0.4,0.2,2.4137268402978673,3,0.8212572085993948,24.53169869285893,0.6667412332708148,-3.327047403787642,0.7001019468292825,1.6401031245439741,-1.1209804907106866,1.3366795798287945,0.8923676848691899,0.5681535832499133,0.6468909681792498,-0.3688794581822926
420.0,2.0,0.5,0.4,0.4,2.3980359478809,3,0.8212572085993948,24.53169869285893,0.6667412332708148,-3.327047403787642,0.6844110544123154,1.9020295989643627,-1.852521351953024,1.3352532701690942,0.8923676848691899,0.5681535832499133,0.6468909681792498,-0.3688794581822926
420.0,2.0,0.5,0.4,0.8,2.319537220814861,3,0.8212572085993948,24.53169869285893,0.6667412332708148,-3.327047403787642,0.6059123273462762,3.0452650152467293,-6.312140848520677,1.332400650849694,0.8923676848691899,0.5681535832499133,0.6468909681792498,-0.3688794581822926
420.0,2.0,0.5,0.6,0.2,2.434163104104692,3,0.8155678684333314,45.7616246659499,-0.15965607784915314,-34.072549897123835,0.7338195375391852,1.2814027983682985,-0.29468971501955754,0.9516970167982495,0.8847756981321754,0.5483142804587617,0.6711207753930216,0.004339532996353922
420.0,2.0,0.5,0.6,0.4,2.4193837818014177,3,0.8155678684333314,45.7616246659499,-0.15965607784915314,-34.072549897123835,0.7190402152359108,1.4994023571174278,-0.7726816140783568,0.9506390996244882,0.8847756981321754,0.5483142804587617,0.6711207753930216,0.004339532996353922
420.0,2.0,0.5,0.6,0.8,2.332000270415872,3,0.8155678684333314,45.7616246659499,-0.15965607784915314,-34.072549897123835,0.6316567038503652,2.509290527170394,-3.9647370998353697,0.9485232652769655,0.8847756981321754,0.5483142804587617,0.6711207753930216,0.004339532996353922
420.0,2.0,0.5,0.8,0.2,2.430993728447209,3,0.8107380691384348,75.36557424019094,-2.145374518705032,-63.166814628186266,0.7457777599524023,1.0287985423148611,0.16544484845153296,0.6279128654172823,0.8744778993563722,0.8327967347392489,0.24132573359101694,0.3206144620164019
420.0,2.0,0.5,0.8,0.4,2.421378785082548,3,0.8107380691384348,75.36557424019094,-2.145374518705032,-63.166814628186266,0.7361628165877412,1.2092697942741826,-0.1530304373124407,0.627175926523547,0.8744778993563722,0.8327967347392489,0.24132573359101694,0.3206144620164019
420.0,2.0,0.5,0.8,0.8,2.331578230839173,3,0.8107380691384348,75.36557424019094,-2.145374518705032,-63.166814628186266,0.646362262344366,2.1070212131373225,-2.500516893463047,0.625702048736077,0.8744778993563722,0.8327967347392489,0.24132573359101694,0.3206144620164019
420.0,2.0,0.8,0.4,0.2,2.4047622794774437,3,0.8252453412570678,24.01986179251195,0.6805025859363785,0.500915554793633,0.6930043285028014,1.6918023576817145,-1.2568028080971314,1.3877972663728682,0.8865126097175743,0.6121629037807681,0.5900684517376991,-0.4180662787850381
